bannerid;banname;bandesc;filetype;url;width;height;bantype;person_tag
34025;104251;fe13d6;3;664cc5;300;250;1;58,81
34026;65c493;fe13d6;3;664cc5;160;600;1;58,81
34027;01bb37;fe13d6;3;664cc5;300;600;1;60,81
34028;8fb5a8;fe13d6;3;488651;980;90;1;58,81
34029;9ef15a;fe13d6;3;488651;300;250;1;58,81
34030;110564;fe13d6;3;488651;160;600;1;58,81
34031;bde9e7;fe13d6;3;488651;300;600;1;58,81
34035;c24819;fe13d6;3;05bb7a;980;90;1;58,81
34036;1f7057;fe13d6;3;05bb7a;300;250;1;58,81
34037;1773ba;fe13d6;3;05bb7a;160;600;1;58,81
34038;c20a22;fe13d6;3;05bb7a;300;600;1;58,81
33882;379ed2;fe13d6;2;2997ff;300;600;1;73,81
33883;8d80c2;fe13d6;2;fced67;300;600;1;
33884;f36792;fe13d6;2;d79b04;300;600;1;73,81
33885;f183c5;fe13d6;2;23a494;300;600;1;73,81
34042;607a0b;fe13d6;3;a6b1a9;300;600;1;60,81
34043;286f99;fe13d6;3;a6b1a9;300;600;1;60,81
34044;91ad1e;fe13d6;3;a6b1a9;160;600;1;60,81
34045;871123;fe13d6;3;a6b1a9;160;600;1;60,81
34047;b887b6;fe13d6;3;a6b1a9;980;90;1;60,81
34048;57fbf8;fe13d6;3;a6b1a9;980;90;1;60,81
33972;c825be;fe13d6;1;943ab8;160;600;1;9,82
33973;b3b755;fe13d6;1;ef8e60;160;600;1;9,82
33974;d7eca2;fe13d6;1;c020aa;160;600;1;9,82
33975;b969da;fe13d6;1;8d1d35;160;600;1;9,82
34046;2fe32f;fe13d6;1;808796;300;250;1;
33947;3a7c6a;fe13d6;1;9400f4;300;600;1;28,81
33976;b6667d;fe13d6;1;abc222;300;600;1;1,81
33977;e230eb;fe13d6;1;226de1;160;600;1;1,81
33978;09eee1;fe13d6;1;25d70a;300;250;1;1,81
33979;b301ba;fe13d6;1;393aef;300;600;1;25,81
33980;8a0e5d;fe13d6;1;1bf598;160;600;1;25,81
33981;03dfe1;fe13d6;1;6ccca1;300;250;1;25,81
33982;236fc0;fe13d6;1;6b0b9d;300;600;1;4,82
33983;23a07c;fe13d6;1;9209d0;160;600;1;4,82
33984;0657d6;fe13d6;1;35dc7c;300;250;1;4,82
33986;2bb3ba;fe13d6;1;eac2ff;300;600;1;29,81
33987;bba710;fe13d6;1;e0e4bd;160;600;1;29,81
33988;0c8d93;fe13d6;1;cc1230;300;250;1;29,81
33996;02cfaf;fe13d6;1;966bb1;300;600;1;189,83
33999;b8d499;fe13d6;1;009dca;160;600;1;189,83
34000;b1e973;fe13d6;1;3a501d;300;250;1;189,83
34001;6f2b04;fe13d6;1;99e8ef;300;600;1;189,83
34002;77d735;fe13d6;1;53ba3d;160;600;1;189,83
34006;218c99;fe13d6;1;704c5c;300;250;1;189,83
34010;0b9b2e;fe13d6;1;28bdb0;300;600;1;26,81
34011;bdd985;fe13d6;1;822132;160;600;1;26,81
34012;cd73f2;fe13d6;1;134146;300;250;1;26,81
34032;d0462c;fe13d6;1;ab1e2f;300;600;1;23,81
34033;d0462c;fe13d6;1;b64a80;300;250;1;23,81
34034;ae0215;fe13d6;1;75289f;160;600;1;23,81
33944;86bd74;fe13d6;1;f260e1;300;250;1;27,81
33945;94808f;fe13d6;1;452184;300;600;1;27,81
33946;383056;fe13d6;1;f74431;300;600;1;81,89,90
33953;76b659;fe13d6;1;762d99;300;250;1;28,81
33955;466be7;fe13d6;1;0113d5;160;600;1;28,81
33968;94808f;fe13d6;2;1a547a;300;600;1;60,81
33969;b2a11d;fe13d6;2;1a547a;980;90;1;60,81
33970;21848c;fe13d6;2;1a547a;160;600;1;60,81
33971;51dec1;fe13d6;2;1a547a;300;250;1;60,81
33985;9aae86;fe13d6;1;487d3d;300;600;1;76,81
33989;08fcee;fe13d6;1;487d3d;300;250;1;76,81
33990;07cad9;fe13d6;1;bfb91d;300;250;1;28,81
33991;07cad9;fe13d6;1;bfb91d;300;600;1;28,81
33992;5a852a;fe13d6;1;487d3d;160;600;1;76,81
33997;69db89;fe13d6;1;aebf9a;300;600;1;
33998;66fe36;fe13d6;1;487d3d;980;90;1;76,81
34039;4a48f3;fe13d6;1;0d0ac4;300;250;1;60,81
34040;d71ac0;fe13d6;1;0d0ac4;300;600;1;60,81
34089;de7043;fe13d6;2;a4ecb4;300;250;1;
34100;db6c38;fe13d6;1;671a29;300;250;1;60,81
34073;1b19d6;fe13d6;1;c74e28;980;90;2;83,84
34074;2b0ac7;fe13d6;1;c74e28;728;90;1;83,84
34075;e73ad4;fe13d6;1;c74e28;300;600;2;83,84
34076;41a642;fe13d6;1;c74e28;160;600;1;83,84
34077;4a48f3;fe13d6;1;c74e28;300;250;2;83,84
34091;94808f;fe13d6;2;3879f3;300;600;1;60,81
34092;4a48f3;fe13d6;2;3879f3;300;250;1;60,81
34093;41a642;fe13d6;2;3879f3;160;600;1;60,81
34094;1b19d6;fe13d6;2;3879f3;980;90;1;60,81
34078;27c09d;fe13d6;3;5e7b38;160;600;1;65,81
34080;07f723;fe13d6;1;2f1886;300;250;1;63
34105;089d09;fe13d6;1;bf4aa5;980;90;1;60,81
34106;135db5;fe13d6;1;bf4aa5;300;250;1;60,81
34107;ef7160;fe13d6;1;bf4aa5;160;600;1;60,81
34108;667f2c;fe13d6;1;bf4aa5;300;600;1;60,81
34079;07f723;fe13d6;1;30d215;300;600;1;71,81
34099;d589f5;fe13d6;3;4c7c38;980;90;1;81,87
34109;99e6c8;fe13d6;3;5762f2;300;250;1;81,87
34110;41a642;fe13d6;3;006984;160;600;1;81,87
34114;663ff7;fe13d6;3;897f51;300;600;1;81,87
34115;b0a749;fe13d6;3;cba743;728;90;1;81,87
34095;ac3a89;fe13d6;2;cd96b0;300;250;1;76,81
34096;1ddd33;fe13d6;1;cd96b0;300;600;1;76,81
34081;d4032c;fe13d6;1;130f7e;980;90;1;81,93
34082;0ff334;fe13d6;1;130f7e;728;90;1;81,93
34084;f225f0;fe13d6;1;130f7e;300;600;1;81,93
34085;f225f0;fe13d6;1;130f7e;300;600;1;81,93
34086;0ff334;fe13d6;1;130f7e;728;90;1;81,93
34087;d4032c;fe13d6;1;130f7e;980;90;1;81,93
34098;d4032c;fe13d6;1;130f7e;980;90;1;81,93
34083;6bf711;fe13d6;1;bad653;300;600;1;73,81
34097;5a96bd;fe13d6;1;bad653;300;250;1;73,81
34102;0a89fc;fe13d6;1;bad653;728;90;1;73,81
34049;94808f;fe13d6;1;6b0b9d;300;600;1;
34050;197d32;fe13d6;1;8b32b7;300;250;1;4,82
34051;e0bf3f;fe13d6;1;6c71f0;160;600;1;4,82
34052;b3d42b;fe13d6;1;0d6cbe;300;600;1;28,81
34053;8856fa;fe13d6;1;235985;160;600;1;28,81
34054;2a17eb;fe13d6;1;d27d88;300;250;1;28,81
34055;69d83d;fe13d6;1;ee43fd;300;250;1;28,81
34056;b78b1c;fe13d6;1;6e499d;300;600;1;28,81
34057;074ad3;fe13d6;1;70c804;160;600;1;28,81
34058;1225da;fe13d6;1;06bbb1;160;600;1;189,83
34059;f42de7;fe13d6;1;e97d6b;300;600;1;189,81
34060;b76022;fe13d6;1;082816;300;250;1;189,83
34061;b8d6db;fe13d6;1;827406;300;600;1;29,81
34062;87e18e;fe13d6;1;590dfa;300;250;1;29,81
34063;76d964;fe13d6;1;79adbb;160;600;1;29,81
34064;fc6cd4;fe13d6;1;d9d110;300;250;1;29,81
34065;22a60b;fe13d6;1;b23ba5;300;600;1;29,81
34066;108f81;fe13d6;1;cd5589;160;600;1;29,81
34067;8d5f69;fe13d6;1;a0aaa3;300;600;1;81,89,90
34068;b5c675;fe13d6;1;3a4492;160;600;1;81,89,90
34069;02f386;fe13d6;1;189ee4;160;600;1;81,89,90
34070;5ed71b;fe13d6;1;1bc563;300;600;1;81,89,90
34071;893ecb;fe13d6;1;e79e70;300;250;1;81,89,90
34072;4a48f3;fe13d6;1;b35f9f;300;250;1;23,81
34088;c1283a;fe13d6;2;576e27;300;600;1;60,81
34090;4a48f3;fe13d6;2;576e27;300;250;1;60,81
34101;b5c90e;fe13d6;1;6f4176;980;90;1;65,81
34103;c09815;fe13d6;1;a995bf;300;600;1;65,81
34104;c38755;fe13d6;1;9c9bbf;728;90;1;65,81
34111;a83e72;fe13d6;1;1cea8e;728;90;1;73,81
34112;9a29f9;fe13d6;1;14ae64;300;250;1;73,81
34113;a19152;fe13d6;1;e274c1;160;600;1;73,81
34116;d8e3c3;fe13d6;1;848ee5;300;600;1;73,81
28379;a8a9f6;fe13d6;1;ac7436;300;250;1;38,81,90
